Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
RG Sharma (IND),2007-2024,159,151,19,4231,121*,32.05,3003,140.89,5,32,12,383,205
Babar Azam (PAK),2016-2024,128,121,15,4223,122,39.83,3268,129.22,3,36,7,447,73
V Kohli (IND),2010-2024,125,117,31,4188,122*,48.69,3056,137.04,1,38,7,369,124
PR Stirling (IRE),2009-2024,147,146,11,3655,115*,27.07,2710,134.87,1,24,13,425,129
MJ Guptill (NZ),2009-2022,122,118,7,3531,105,31.81,2602,135.7,2,20,3,309,173
JC Buttler (ENG),2011-2025,130,119,23,3457,101*,36.01,2349,147.16,1,26,8,318,148
Mohammad Rizwan (PAK),2015-2024,106,93,21,3414,104*,47.41,2723,125.37,1,30,5,285,95
DA Warner (AUS),2009-2024,110,110,12,3277,100*,33.43,2300,142.47,1,28,6,337,122
AJ Finch (AUS),2011-2022,103,103,12,3120,172,34.28,2189,142.53,2,19,8,309,125
GJ Maxwell (AUS),2012-2024,116,106,17,2664,145*,29.93,1719,154.97,5,11,4,224,137
